|            Name|     sName|      ra|     dec|Dist_B|
|            char|      char|  double|  double|double|
|                |          |        |        |      |
|            null|      null|    null|    null|  null|
 G005.8893-0.4565  G005_8893   270.19 -24.0953   2.93 
 G005.8917-0.3567  G005_8917 270.0964 -24.0437   null 
 G005.9394-0.3754  G005_9394 270.1402 -24.0115   null 
 G006.2130-0.5937  G006_2130 270.4959  -23.882   2.95 
 G006.4609-0.3902  G006_4609 270.4365  -23.566   null 
 G006.4916-0.3322  G006_4916 270.3981 -23.5105   null 
 G006.4982-0.3222  G006_4982 270.3922 -23.4999   null 
 G007.3449-0.0001  G007_3449 270.5428 -22.6046   2.97 
 G008.1102+0.2591  G008_1102 270.7072 -21.8111   2.98 
 G008.1232+0.2573  G008_1232 270.7158 -21.8007   2.99 
 G008.5441-0.3421  G008_5441 271.5005 -21.7281   4.45 
 G008.7264-0.3959  G008_7264 271.6468 -21.5952   4.47 
 G009.5776-0.6599  G009_5776 272.3382 -20.9795   null 
 G009.9517-0.3649  G009_9517  272.256 -20.5094   3.12 
 G010.0676-0.4076  G010_0676 272.3557 -20.4286   3.11 
 G010.1065-0.4168  G010_1065 272.3844  -20.399   3.11 
 G010.1365-0.4108  G010_1365 272.3943 -20.3698   3.12 
 G010.1839-0.4050  G010_1839 272.4133 -20.3256   3.12 
 G010.1904-0.3884  G010_1904 272.4012 -20.3118   3.12 
 G010.1976-0.2876  G010_1976 272.3108 -20.2568   3.12 
 G010.1984-0.3164  G010_1984  272.338   -20.27   3.12 
 G010.2144-0.3051  G010_2144 272.3358 -20.2506   3.12 
 G010.2190-0.3632  G010_2190 272.3924 -20.2746   3.12 
 G010.2488-0.1101  G010_2488 272.1718 -20.1259  14.56 
 G010.5743-0.7905  G010_5743 272.9739 -20.1695   null 
 G010.5785-0.3491  G010_5785 272.5642 -19.9531  16.61 
 G010.5959-0.3638  G010_5959 272.5869  -19.945  16.79 
 G010.6174-0.0304  G010_6174 272.2877  -19.765   10.7 
 G010.6233-0.5091  G010_6233 272.7365  -19.991  18.13 
 G010.6333-0.4978  G010_6333  272.731 -19.9768  17.94 
 G010.6627+0.0811  G010_6627 272.2074 -19.6713  14.51 
 G010.6847-0.3071  G010_6847 272.5797 -19.8398   3.09 
 G010.9823-0.3677  G010_9823 272.7886 -19.6084  16.54 
 G011.0970-0.1093  G011_0970 272.6071 -19.3832   3.03 
 G011.3811+0.8103  G011_3811 271.9017 -18.6892   2.82 
 G012.3628+0.4214  G012_3628 272.7609 -18.0185   2.96 
 G012.6738-0.0998  G012_6738 273.3987 -17.9961  10.73 
 G012.7025-0.1452  G012_7025 273.4549 -17.9926   3.04 
 G012.7359-0.1024  G012_7359 273.4323 -17.9428  10.72 
 G012.8572-0.2088  G012_8572 273.5914 -17.8872    3.0 
 G012.9459-0.2488  G012_9459 273.6729 -17.8283   3.02 
 G012.9674-0.2380  G012_9674 273.6737 -17.8044   null 
 G014.0177-0.1603  G014_0177 274.1265 -16.8439   3.19 
 G014.1842-0.2280  G014_1842 274.2714 -16.7297   3.12 
 G014.2314-0.1758  G014_2314 274.2468 -16.6633   3.06 
 G014.3280-0.5328  G014_3280 274.6227 -16.7475   1.85 
 G014.3848-0.1308  G014_3848 274.2815  -16.507  13.32 
 G014.4683-0.0857  G014_4683 274.2814  -16.412   3.09 
 G014.4876-0.1274  G014_4876 274.3293 -16.4149   3.15 
 G014.6858-0.2234  G014_6858 274.5153  -16.286   3.06 
 G014.7258-0.2031  G014_7258 274.5165 -16.2411   3.06 
 G015.0060+0.0090  G015_0060 274.4603 -15.8938  13.32 
 G015.0201-0.6201  G015_0201 275.0439 -16.1789   1.85 
 G015.1239-0.5584  G015_1239 275.0384 -16.0583   1.85 
 G015.2169-0.4267  G015_2169 274.9633 -15.9141   1.87 
 G015.2277-0.8391  G015_2277 275.3469 -16.0989   1.83 
 G015.2317-0.6097  G015_2317 275.1383 -15.9874   1.86 
 G015.2576-0.6158  G015_2576 275.1566 -15.9675   1.86 
 G015.5022-0.4201  G015_5022  275.097 -15.6594   3.15 
 G016.3013-0.5251  G016_3013 275.5829 -15.0038    3.2 
 G016.4210-0.6344  G016_4210  275.741 -14.9494   3.35 
 G017.0658+0.8213  G017_0658 274.7292  -13.695   1.85 
 G018.0641-0.3081  G018_0641 276.2371 -13.3448   3.39 
 G018.0982-0.3545  G018_0982 276.2956 -13.3363   3.37 
 G018.0986-0.3431  G018_0986 276.2854 -13.3306   3.55 
 G018.1042-0.3058  G018_1042 276.2542 -13.3083   3.45 
 G018.8008-0.2958  G018_8008 276.5789 -12.6876   4.95 
 G018.8441-0.3758  G018_8441 276.6721 -12.6866    3.6 
 G018.9295-0.0289  G018_9295 276.3985 -12.4492   3.33 
 G019.5892-0.0799  G019_5892 276.7593 -11.8894  11.57 
 G022.3685+0.3814  G022_3685 277.6566  -9.2137   5.42 
 G022.5309-0.1927  G022_5309 278.2485   -9.335   4.98 
 G022.6919-0.4519  G022_6919 278.5567  -9.3118    4.9 
 G022.7215-0.2733  G022_7215 278.4099  -9.2032   4.64 
 G023.2674-0.3559  G023_2674 278.7389  -8.7567   4.52 
 G023.2694-0.2097  G023_2694 278.6085  -8.6876   4.74 
 G023.2778-0.2149  G023_2778 278.6171  -8.6826   4.89 
 G023.2826-0.2007  G023_2826 278.6066  -8.6718   4.83 
 G023.2957+0.0556  G023_2957 278.3827   -8.542   3.63 
 G023.2989-0.2501  G023_2989 278.6586  -8.6801   5.44 
 G023.3222-0.0775  G023_3222 278.5145  -8.5799   5.82 
 G023.3760-0.1293  G023_3760  278.586   -8.556   5.85 
 G023.4556-0.2301  G023_4556 278.7135  -8.5317   5.93 
 G023.4742+0.1037  G023_4742 278.4227  -8.3614   5.57 
 G023.4771+0.1147  G023_4771 278.4142  -8.3538   5.56 
 G023.5176+0.2425  G023_5176 278.3185  -8.2589    5.4 
 G023.8923+0.4071  G023_8923 278.3456  -7.8505   9.23 
 G023.9790+0.1498  G023_9790 278.6164  -7.8922   4.43 
 G024.0179+0.2107  G024_0179   278.58  -7.8296   5.98 
 G024.0234+0.2431  G024_0234 278.5535  -7.8097   9.21 
 G024.0492-0.2145  G024_0492 278.9756  -7.9976    4.8 
 G024.2583+0.1022  G024_2583 278.7889  -7.6662   5.89 
 G024.3462+0.0626  G024_3462 278.8652  -7.6064   7.29 
 G024.4326+0.3238  G024_4326 278.6714  -7.4094   6.81 
 G024.5245-0.1397  G024_5245 279.1291  -7.5411   5.73 
 G024.5269+0.3232  G024_5269 278.7157   -7.326   6.02 
 G024.5458-0.2144  G024_5458  279.206  -7.5566   5.91 
 G024.5611+0.3413  G024_5611 278.7155  -7.2873   6.02 
 G024.6669-0.1154  G024_6669 279.1734  -7.4034   6.07 
 G024.6897-0.1253  G024_6897 279.1928  -7.3877   6.02 
 G024.7441+0.1624  G024_7441 278.9604  -7.2071   6.02 
 G025.8048+0.2712  G025_8048  279.354  -6.2151   8.67 
 G026.2895+0.1343  G026_2895    279.7  -5.8474   8.51 
 G026.3438+0.1365  G026_3438 279.7231  -5.7981   8.52 
 G027.4646+0.1189  G027_4646 280.2545  -4.8099    8.4 
 G028.1943-0.0747  G028_1943  280.762  -4.2496   8.19 
 G028.2726-0.1666  G028_2726 280.8799  -4.2219    4.5 
 G028.5246-0.2519  G028_5246 281.0714  -4.0368   4.69 
 G028.5413-0.2371  G028_5413 281.0658  -4.0152   4.62 
 G029.5561+0.1861  G029_5561 281.1531  -2.9191   4.58 
 G029.8406-0.0342  G029_8406 281.4794  -2.7665   7.67 
 G029.9206-0.0140  G029_9206 281.4979  -2.6862   7.66 
 G029.9405-0.7886  G029_9405 282.1972  -3.0219   5.85 
 G030.0062-0.1192  G030_0062 281.6308   -2.658   6.89 
 G030.0556+0.0995  G030_0556 281.4585  -2.5143   6.75 
 G030.4235-0.2142  G030_4235 281.9059  -2.3301   7.23 
 G030.5682-0.0258  G030_5682 281.8042  -2.1153   4.86 
 G030.6574+0.0446  G030_6574 281.7823  -2.0038   4.66 
 G030.6783-0.0386  G030_6783 281.8659  -2.0232   4.99 
 G030.6858-0.0306  G030_6858 281.8622  -2.0129    5.0 
 G030.7912-0.1173  G030_7912 281.9875  -1.9586   5.31 
 G030.7941+0.0736  G030_7941 281.8189  -1.8689   2.06 
 G030.8130-0.0235  G030_8130  281.914  -1.8964   5.77 
 G030.8447+0.1775  G030_8447 281.7495  -1.7765   6.52 
 G030.8523-0.1086  G030_8523 282.0077  -1.9002   6.34 
 G030.8620+0.0392  G030_8620 281.8805  -1.8242   5.13 
 G030.8624-0.0394  G030_8624 281.9506  -1.8597   5.65 
 G031.1496+0.2650  G031_1496 281.8108  -1.4653   6.62 
 G031.3944+0.3067  G031_3944 281.8853  -1.2284   5.99 
 G031.6972-0.1871  G031_6972  282.463  -1.1841   6.67 
 G032.0016-0.1987  G032_0016 282.6121  -0.9186    6.1 
 G033.1345-0.0221  G033_1345 282.9716   0.1702   6.54 
 G033.2011+0.0194  G033_2011  282.965   0.2485    6.5 
 G033.4526-0.0810  G033_4526 283.1691   0.4265   6.55 
 G033.6218-0.0335  G033_6218  283.204   0.5987    6.5 
 G034.7391-0.1197  G034_7391 283.7904   1.5537   4.77 
 G034.7798-0.5671  G034_7798 284.2072   1.3858    2.2 
 G035.2006-0.7253  G035_2006 284.5402    1.688   2.19 
 G035.4440-0.0089  G035_4440 284.0136   2.2315   5.83 
 G043.1401-0.0592  G043_1401 287.6069   9.0478  11.54 
 G043.2256-0.0391  G043_2256 287.6288   9.1328  11.52 
 G045.4212+0.0838  G045_4212 288.5513  11.1357   7.96 
 G045.5356+0.1411  G045_5356 288.5537  11.2636   7.84 
 G048.8905-0.2649  G048_8905 290.5297  14.0391   5.69 
 G049.0548-0.3340  G049_0548 290.6724  14.1515   5.82 
 G049.2527-0.4106  G049_2527 290.8385  14.2898   5.82 
 G049.3228-0.3461  G049_3228 290.8139   14.382   5.77 
 G049.3538-0.3538  G049_3538 290.8361  14.4057   5.77 
 G049.4011-0.2263  G049_4011  290.743  14.5076   5.02 
 G049.4134-0.3537  G049_4134 290.8651  14.4583   5.82 
 G049.4739-0.2957  G049_4739 290.8417   14.539   5.81 
 G049.4909-0.2857  G049_4909 290.8409  14.5587    5.8 
 G049.5300-0.3478  G049_5300 290.9165  14.5639   5.79 
 G305.0943+0.2510  G305_0943 197.5531  -62.542   6.15 
 G305.0955+0.0877  G305_0955 197.5817 -62.7048   6.79 
 G305.1293-0.0271  G305_1293  197.674 -62.8168   null 
 G305.1543+0.0477  G305_1543 197.7161 -62.7403   6.58 
 G305.1721+0.0079  G305_1721 197.7616 -62.7786   7.02 
 G305.2350-0.0231  G305_2350  197.904 -62.8046   7.43 
 G305.2581+0.3275  G305_2581 197.8944 -62.4533   6.22 
 G305.2719-0.0309  G305_2719 197.9857 -62.8096   7.08 
 G305.3187+0.3130  G305_3187 198.0276  -62.463   6.15 
 G305.3834+0.2565  G305_3834  198.177 -62.5141    6.6 
 G305.4126+0.2061  G305_4126 198.2493 -62.5619   6.44 
 G305.5476-0.0559  G305_5476 198.5917 -62.8113   5.53 
 G305.5890+0.4609  G305_5890 198.5814 -62.2928   6.47 
 G317.3645+0.1283  G317_3645 222.1902 -59.4154   9.49 
 G317.3887+0.1195  G317_3887 222.2405 -59.4127   9.69 
 G319.8307+0.7918  G319_8307 225.8021 -57.6908   null 
 G320.2512-0.1894  G320_2512 227.4079 -58.3359  12.08 
 G320.2715+0.2920  G320_2715 226.9836 -57.9093   10.8 
 G320.3385-0.1534  G320_3385 227.5167 -58.2607  12.24 
 G326.2828-0.5924  G326_2828 236.9301 -55.2618   3.71 
 G326.4923+0.8820  G326_4923 235.6583 -53.9674   2.46 
 G326.6950+0.5691  G326_6950 236.2561 -54.0926   2.65 
 G326.8051-0.1112  G326_8051 237.1239 -54.5604  10.61 
 G326.8693+0.0720  G326_8693 237.0147  -54.377  10.95 
 G326.9980-0.0159  G326_9980 237.2816 -54.3658  10.49 
 G327.0678-0.2901  G327_0678 237.6702 -54.5363  10.38 
 G327.1177-0.2953  G327_1177 237.7427  -54.509  10.45 
 G327.2309-0.5041  G327_2309 238.1212 -54.5997    3.0 
 G327.2585-0.6051  G327_2585 238.2685 -54.6605   2.89 
 G328.1434-0.1092  G328_1434  238.894 -53.7145   8.88 
 G328.2075-0.5865  G328_2075 239.4984 -54.0384    2.7 
 G328.2188-0.5922  G328_2188 239.5194 -54.0354   2.77 
 G328.2959-0.5493  G328_2959 239.5721 -53.9528   2.66 
 G328.2972-0.5130  G328_2972 239.5339 -53.9242   2.77 
 G328.2988-0.5242  G328_2988 239.5482 -53.9318   2.77 
 G328.3188+0.4516  G328_3188 238.5194 -53.1709   5.52 
 G328.3678-0.5589  G328_3678 239.6757 -53.9135   null 
 G328.4197+0.5845  G328_4197 238.5082 -53.0041   6.58 
 G329.2580-0.3135  G329_2580 240.5394  -53.146   9.96 
 G330.8521-0.3510  G330_8521 242.5341 -52.1083    3.8 
 G331.0288-0.4308  G331_0288 242.8332 -52.0467   3.88 
 G331.0605-0.1660  G331_0605 242.5788  -51.831   9.29 
 G331.2475-0.4493  G331_2475 243.1131 -51.9109   4.21 
 G332.4947-0.1215  G332_4947 244.1975 -50.8133  11.63 
 G332.5244-0.6283  G332_5244  244.793 -51.1556   3.22 
 G332.6826-0.0082  G332_6826 244.2863 -50.6012   9.12 
 G332.7154-0.6756  G332_7154 245.0625 -51.0552   2.99 
 G332.7393-0.6211  G332_7393 245.0286 -50.9996   3.21 
 G332.7570-0.4666  G332_7570 244.8764 -50.8772   3.37 
 G332.8975-0.5488  G332_8975 245.1263 -50.8369   3.52 
 G333.0138-0.5339  G333_0138 245.2402 -50.7445   3.38 
 G333.0142-0.5213  G333_0142 245.2267 -50.7353   3.38 
 G333.0150-0.7511  G333_0150 245.4845 -50.8974   3.47 
 G333.0151-0.4964  G333_0151    245.2  -50.717   3.54 
 G333.1639-0.4413  G333_1639 245.3051 -50.5729   3.36 
 G333.1700-0.4303  G333_1700 245.2998 -50.5609   3.27 
 G333.1797-0.3958  G333_1797 245.2722 -50.5296   3.26 
 G333.2418-0.5148  G333_2418 245.4737   -50.57   3.17 
 G333.2770-0.4846  G333_2770 245.4792 -50.5237   3.51 
 G333.4489-0.1822  G333_4489 245.3349 -50.1883  12.04 
 G333.4800-0.2243  G333_4800 245.4159 -50.1961  11.75 
 G333.4826-0.2468  G333_4826 245.4436 -50.2102  11.69 
 G333.4974-0.1154  G333_4974 245.3151 -50.1067  11.95 
