|            Name|     sName|      ra|     dec|Dist_B|
|            char|      char|  double|  double|double|
|                |          |        |        |      |
|            null|      null|    null|    null|  null|
 G353.4298-0.1939  G353_4298  262.454 -34.5877    8.8 
 G353.5734-0.0798  G353_5734 262.4346  -34.405   9.99 
 G354.3403+0.4742  G354_3403 262.3878 -33.4597   null 
 G354.4525+0.4192  G354_4525 262.5169 -33.3965   null 
 G354.8133+0.3514  G354_8133 262.8219 -33.1323   null 
 G355.2569+0.3646  G355_2569 263.0981 -32.7539   5.43 
 G356.2261+0.7052  G356_2261 263.3852 -31.7558   5.36 
 G358.4116-0.3842  G358_4116 265.8253 -30.4909   null 
 G358.5723-0.3058  G358_5723 265.8459 -30.3129  18.29 
 G358.6771-0.4584  G358_6771   266.06 -30.3037   null 
 G359.0025+0.1684  G359_0025 265.6413 -29.6977   null 
 G359.0305-0.2236  G359_0305 266.0426 -29.8797   null 
 G359.2015+0.0068  G359_2015 265.9199 -29.6133   null 
 G359.2513-0.0261  G359_2513 265.9822 -29.5881   null 
 G359.3608-0.0077  G359_3608   266.03 -29.4853   9.72 
 G359.4711-0.1175  G359_4711 266.2038 -29.4487   null 
 G359.4854-0.1237  G359_4854 266.2184 -29.4397   null 
 G359.5086-0.0512  G359_5086 266.1615  -29.382   null 
 G359.5257-0.0096  G359_5257 266.1309 -29.3457   null 
 G359.5372-0.0016  G359_5372   266.13 -29.3317   null 
 G359.5400-0.1638  G359_5400 266.2905 -29.4141   null 
 G359.5454-0.0793  G359_5454  266.211 -29.3654   null 
 G359.5575-0.0933  G359_5575  266.232 -29.3624   null 
 G359.6100-0.1578  G359_6100 266.3265 -29.3513   null 
 G359.6209-0.0994  G359_6209 266.2759 -29.3114   null 
 G359.6246+0.0235  G359_6246  266.158 -29.2441    5.2 
 G359.6454-0.0251  G359_6454 266.2178 -29.2518   null 
 G359.6540-0.0064  G359_6540 266.2048 -29.2347   null 
 G359.6625-0.1137  G359_6625 266.3148 -29.2834   null 
 G359.6749-0.1772  G359_6749 266.3843  -29.306   null 
 G359.6815-0.0842  G359_6815 266.2973 -29.2518   null 
 G359.6930-0.0658  G359_6930 266.2861 -29.2324  14.85 
 G359.6956-0.2986  G359_6956 266.5155 -29.3515   null 
 G359.7119+0.0473  G359_7119  266.187 -29.1573   null 
 G359.7338-0.1639  G359_7338 266.4065 -29.2488   null 
 G359.7426+0.0302  G359_7426  266.222   -29.14  12.62 
 G359.7475-0.0359  G359_7475 266.2896 -29.1704   null 
 G359.7513-0.1447  G359_7513 266.3981 -29.2239   null 
 G359.7524+0.0426  G359_7524 266.2159 -29.1252   null 
 G359.7781-0.0852  G359_7781  266.356 -29.1699   null 
 G359.8153+0.0262  G359_8153 266.2694 -29.0801   null 
 G359.8170-0.0731  G359_8170 266.3674 -29.1305   null 
 G359.8184-0.1286  G359_8184 266.4225 -29.1582   null 
 G359.8193+0.0365  G359_8193 266.2617 -29.0713   null 
 G359.8514-0.3319  G359_8514 266.6411 -29.2358   2.82 
 G359.8690-0.1026  G359_8690 266.4272 -29.1015   null 
 G359.8854-0.0763  G359_8854 266.4113 -29.0737   null 
 G359.9131-0.1299  G359_9131 266.4802  -29.078   null 
 G359.9214+0.0276  G359_9214 266.3313 -28.9889   null 
